,Date,Calculated Price
1327,2010-08-01,881.5262048883187
1326,2010-07-01,852.7872737625216
1325,2010-06-01,845.5158375595099
1324,2010-05-01,846.8708308889322
1323,2010-04-01,877.9502704633343
1322,2010-03-01,932.7988423962328
1321,2010-02-01,896.1464524894158
1320,2010-01-01,845.8999929105304
1319,2009-12-01,871.1637414114629
1318,2009-11-01,859.474883002627
1317,2009-10-01,840.7266780814116
1316,2009-09-01,823.5152101884726
1315,2009-08-01,804.2140724496802
1314,2009-07-01,775.8939435115101
1313,2009-06-01,717.6229592226324
1312,2009-05-01,708.5534747458852
1311,2009-04-01,688.78533561377
1310,2009-03-01,645.7766131762329
1309,2009-02-01,574.9435658620307
1308,2009-01-01,609.6316041374516
1307,2008-12-01,653.4100794613629
1306,2008-11-01,660.6775323168482
1305,2008-10-01,662.9980254057683
1304,2008-09-01,725.4601437857186
1303,2008-08-01,908.9840167719817
1302,2008-07-01,955.3168857298809
1301,2008-06-01,935.5762273331516
1300,2008-05-01,996.1416389833386
1299,2008-04-01,1040.3568031157583
1298,2008-03-01,1014.3884585762073
1297,2008-02-01,973.1278382350415
1296,2008-01-01,999.4123839324653
1295,2007-12-01,1015.2502884320046
1294,2007-11-01,1087.4574640445637
1293,2007-10-01,1074.1381509725047
1292,2007-09-01,1128.414908049695
1291,2007-08-01,1095.6548286723905
1290,2007-07-01,1063.0201112568066
1289,2007-06-01,1109.6243332534516
1288,2007-05-01,1103.335321918516
1287,2007-04-01,1099.5966931617659
1286,2007-03-01,1063.5425990538406
1285,2007-02-01,1020.870223703053
1284,2007-01-01,1046.7243142654086
1283,2006-12-01,1030.2404667966618
1282,2006-11-01,1023.1805212003793
1281,2006-10-01,1001.6451504653737
1280,2006-09-01,982.0050494758566
1279,2006-08-01,947.6983685348935
1278,2006-07-01,924.3132434749765
1277,2006-06-01,903.6203377407143
1276,2006-05-01,897.1607801238226
1275,2006-04-01,922.1510742356077
1274,2006-03-01,929.4940774474425
1273,2006-02-01,922.1171403248437
1272,2006-01-01,908.5793086263118
1271,2005-12-01,908.7610608384795
1270,2005-11-01,895.595802541125
1269,2005-10-01,876.8316061691061
1268,2005-09-01,843.4317104358465
1267,2005-08-01,866.1241635200724
1266,2005-07-01,863.7057873155889
1265,2005-06-01,861.0365739363859
1264,2005-05-01,845.728881186903
1263,2005-04-01,827.6853407583704
1262,2005-03-01,816.7410112081808
1261,2005-02-01,836.9105555980949
1260,2005-01-01,839.0921953058903
1259,2004-12-01,825.2283588767608
1258,2004-11-01,836.5213977463363
1257,2004-10-01,814.2912467111227
1256,2004-09-01,777.217950473535
1255,2004-08-01,776.4415089645705
1254,2004-07-01,755.4402694732152
1253,2004-06-01,766.0889052562774
1252,2004-05-01,783.6424971934098
1251,2004-04-01,761.8534874522747
1250,2004-03-01,781.8693426234346
1249,2004-02-01,774.3580693507324
1248,2004-01-01,786.7094070412805
1247,2003-12-01,778.2267356229901
1246,2003-11-01,741.6627614819309
1245,2003-10-01,719.6417247059295
1244,2003-09-01,711.038162934423
1243,2003-08-01,696.8912701503705
1242,2003-07-01,675.5440773074548
1241,2003-06-01,676.6944578858609
1240,2003-05-01,672.6585068447921
1239,2003-04-01,636.3845854728403
1238,2003-03-01,604.296444281493
1237,2003-02-01,573.935268573932
1236,2003-01-01,566.5139360121725
1235,2002-12-01,605.314602000398
1234,2002-11-01,606.6492303070736
1233,2002-10-01,613.0246870524187
1232,2002-09-01,574.9082688290525
1231,2002-08-01,582.8939154710054
1230,2002-07-01,612.0263707171413
1229,2002-06-01,605.1279125144762
1228,2002-05-01,678.0904443237071
1227,2002-04-01,720.7594008542804
1226,2002-03-01,741.6746252873847
1225,2002-02-01,768.6543945355837
1224,2002-01-01,732.4005664941245
1223,2001-12-01,757.7864112717274
1222,2001-11-01,760.0666111050425
1221,2001-10-01,749.0554953237829
1220,2001-09-01,713.046640003601
1219,2001-08-01,691.0705950800552
1218,2001-07-01,778.6710930479496
1217,2001-06-01,794.9679357304233
1216,2001-05-01,816.6919413708889
1215,2001-04-01,836.6888037812611
1214,2001-03-01,782.8300933582159
1213,2001-02-01,779.3231392316734
1212,2001-01-01,857.1525948434595
1211,2000-12-01,875.8967860652559
1210,2000-11-01,871.8861099594426
1209,2000-10-01,901.8267583362046
1208,2000-09-01,908.8247085923659
1207,2000-08-01,958.7769897587995
1206,2000-07-01,969.2448339656282
1205,2000-06-01,960.2187774575274
1204,2000-05-01,952.1257089316088
1203,2000-04-01,922.9601676343628
1202,2000-03-01,949.9384187261866
1201,2000-02-01,936.6381568982317
1200,2000-01-01,901.1334971120182
1199,1999-12-01,924.049935512734
1198,1999-11-01,925.1601276659331
1197,1999-10-01,899.8736773328792
1196,1999-09-01,840.1397416981414
1195,1999-08-01,850.946765621535
1194,1999-07-01,856.0832652128119
1193,1999-06-01,889.6220151852975
1192,1999-05-01,851.1500336636984
1191,1999-04-01,856.3739145424071
1190,1999-03-01,857.2311456880951
1189,1999-02-01,822.2840726024893
1188,1999-01-01,798.9545983312179
1187,1998-12-01,799.5142583120363
1186,1998-11-01,761.0797318534377
1185,1998-10-01,731.1044494269335
1184,1998-09-01,658.8307194980026
1183,1998-08-01,650.4400429440248
1182,1998-07-01,683.9537780694267
1181,1998-06-01,735.1970096414346
1180,1998-05-01,703.7398388450605
1179,1998-04-01,702.8963632092094
1178,1998-03-01,704.4461447276102
1177,1998-02-01,681.2166567330144
1176,1998-01-01,646.867967650759
1175,1997-12-01,607.9586162131194
1174,1997-11-01,606.5030089915397
1173,1997-10-01,590.9607414903436
1172,1997-09-01,597.8358538091488
1171,1997-08-01,588.1316810714696
1170,1997-07-01,581.2152199540168
1169,1997-06-01,579.1880617379339
1168,1997-05-01,547.7473630962114
1167,1997-04-01,519.9804092426538
1166,1997-03-01,476.08534081912995
1165,1997-02-01,492.8929918409048
1164,1997-01-01,495.9679933999847
1163,1996-12-01,475.24721483325476
1162,1996-11-01,460.2432837819628
1161,1996-10-01,454.7858535394889
1160,1996-09-01,432.92323040408274
1159,1996-08-01,415.7925762620849
1158,1996-07-01,407.5598669497009
1157,1996-06-01,395.38209832140177
1156,1996-05-01,409.63748272005984
1155,1996-04-01,404.4603897314967
1154,1996-03-01,395.1738053067872
1153,1996-02-01,394.38503523631454
1152,1996-01-01,395.1753860083312
1151,1995-12-01,373.1590047293024
1150,1995-11-01,372.56290408276993
1149,1995-10-01,360.34713616671814
1148,1995-09-01,352.03901540320254
1147,1995-08-01,348.86434981984195
1146,1995-07-01,336.3520534321654
1145,1995-06-01,334.64536208552914
1144,1995-05-01,323.1727301646829
1143,1995-04-01,313.2125704251627
1142,1995-03-01,303.0600584665338
1141,1995-02-01,293.6059469739719
1140,1995-01-01,286.2772493895982
1139,1994-12-01,275.74383489654997
1138,1994-11-01,269.1496680298194
1137,1994-10-01,271.95076086674686
1136,1994-09-01,272.96071551414923
1135,1994-08-01,274.16705053650986
1134,1994-07-01,271.93716577713735
1133,1994-06-01,263.8117634624926
1132,1994-05-01,265.1907553905233
1131,1994-04-01,262.2794534571489
1130,1994-03-01,259.528451867355
1129,1994-02-01,268.5240060707242
1128,1994-01-01,272.39197207417754
1127,1993-12-01,272.6100601222754
1126,1993-11-01,267.9477689426729
1125,1993-10-01,265.5840707133243
1124,1993-09-01,265.55751496182813
1123,1993-08-01,262.30493378291993
1122,1993-07-01,258.810985478954
1121,1993-06-01,254.33469484960102
1120,1993-05-01,254.18218553827808
1119,1993-04-01,251.9898736376307
1118,1993-03-01,250.18851632012576
1117,1993-02-01,253.5865764444818
1116,1993-01-01,248.24921825206243
1115,1992-12-01,244.0515319033252
1114,1992-11-01,243.7103374309219
1113,1992-10-01,235.9933547312113
1112,1992-09-01,229.65488004205068
1111,1992-08-01,232.39716660802537
1110,1992-07-01,231.51740048617788
1109,1992-06-01,229.36140329520296
1108,1992-05-01,225.0627056179011
1107,1992-04-01,228.0963875726169
1106,1992-03-01,223.4705472446526
1105,1992-02-01,222.89103056518314
1104,1992-01-01,225.16519907584922
1103,1991-12-01,226.5243451467296
1102,1991-11-01,210.99510539002387
1101,1991-10-01,209.03022130971254
1100,1991-09-01,208.98842362498755
1099,1991-08-01,208.61292036832455
1098,1991-07-01,209.2406422952102
1097,1991-06-01,203.77935556604032
1096,1991-05-01,202.2021785731696
1095,1991-04-01,201.49693928566973
1094,1991-03-01,201.86028780371643
1093,1991-02-01,197.39906884775712
1092,1991-01-01,191.5751832761618
1091,1990-12-01,171.6469700530076
1090,1990-11-01,172.8395630379696
1089,1990-10-01,165.25438668894694
1088,1990-09-01,160.47231179738486
1087,1990-08-01,164.28369348626623
1086,1990-07-01,171.73708288340606
1085,1990-06-01,186.38710970632306
1084,1990-05-01,186.07078936440357
1083,1990-04-01,180.35358085141374
1082,1990-03-01,173.66738647223278
1081,1990-02-01,173.32074498226825
1080,1990-01-01,168.7476827789585
1079,1989-12-01,173.12781653735354
1078,1989-11-01,177.04040958927655
1077,1989-10-01,172.31887248323588
1076,1989-09-01,175.49533810289833
1075,1989-08-01,174.98787327041416
1074,1989-07-01,174.18661484214033
1073,1989-06-01,166.3832408464422
1072,1989-05-01,161.85140160159744
1071,1989-04-01,156.5445416400014
1070,1989-03-01,150.35011682673974
1069,1989-02-01,145.18165008375794
1068,1989-01-01,145.4143129845332
1067,1988-12-01,140.7689380295578
1066,1988-11-01,135.99549611589006
1065,1988-10-01,132.8989505676635
1064,1988-09-01,135.6388554477072
1063,1988-08-01,130.67327114422656
1062,1988-07-01,128.19902986777842
1061,1988-06-01,130.44264333310787
1060,1988-05-01,130.84827297934382
1059,1988-04-01,123.4417669616451
1058,1988-03-01,126.2056711600502
1057,1988-02-01,127.33898815462638
1056,1988-01-01,123.35463349280866
1055,1987-12-01,119.37930271248297
1054,1987-11-01,114.51252058751363
1053,1987-10-01,116.05606626888986
1052,1987-09-01,132.33302881287327
1051,1987-08-01,150.12255112067302
