,symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName,country,isEtf,isFund,isActivelyTrading
167,KVUE,Kenvue Inc.,38559673641,Consumer Defensive,Household & Personal Products,,20.135,0.8,2984673,New York Stock Exchange,NYSE,US,False,False,True
168,CTVA,"Corteva, Inc.",38443672740,Basic Materials,Agricultural Inputs,0.765,54.78,0.64,830211,New York Stock Exchange,NYSE,US,False,False,True
169,CMI,Cummins Inc.,37999234590,Industrials,Specialty Industrial Machinery,1.038,267.87,6.72,1439414,New York Stock Exchange,NYSE,US,False,False,True
170,GIS,"General Mills, Inc.",37333088600,Consumer Defensive,Packaged Foods,0.134,65.74,2.36,795773,New York Stock Exchange,NYSE,US,False,False,True
171,VEEV,Veeva Systems Inc.,36855757320,Healthcare,Health Information Services,0.741,228.895,0.0,150447,New York Stock Exchange,NYSE,US,False,False,True
172,MLM,"Martin Marietta Materials, Inc.",36598301775,Basic Materials,Building Materials,0.954,591.99,2.96,111097,New York Stock Exchange,NYSE,US,False,False,True
173,IT,"Gartner, Inc.",36138121650,Technology,Information Technology Services,1.289,463.5,0.0,44241,New York Stock Exchange,NYSE,US,False,False,True
174,IR,Ingersoll Rand Inc.,35974388120,Industrials,Specialty Industrial Machinery,1.442,89.17,0.08,477889,New York Stock Exchange,NYSE,US,False,False,True
175,PCG,PG&E Corporation,35108717100,Utilities,Utilities—Regulated Electric,1.327,16.455,0.02,5300115,New York Stock Exchange,NYSE,US,False,False,True
176,VMC,Vulcan Materials Company,34902638920,Basic Materials,Building Materials,0.832,263.96,1.84,177815,New York Stock Exchange,NYSE,US,False,False,True
177,PWR,"Quanta Services, Inc.",34670772120,Industrials,Engineering & Construction,1.105,237.88,0.36,155554,New York Stock Exchange,NYSE,US,False,False,True
178,DG,Dollar General Corporation,34594922170,Consumer Defensive,Discount Stores,0.41,157.61,2.36,487690,New York Stock Exchange,NYSE,US,False,False,True
179,GPN,Global Payments Inc.,33482583225,Industrials,Specialty Business Services,0.968,129.785,1.0,353626,New York Stock Exchange,NYSE,US,False,False,True
180,EFX,Equifax Inc.,33072700360,Industrials,Consulting Services,1.517,266.81,1.56,99357,New York Stock Exchange,NYSE,US,False,False,True
181,PPG,"PPG Industries, Inc.",33043917300,Basic Materials,Specialty Chemicals,1.281,140.46,2.57,204305,New York Stock Exchange,NYSE,US,False,False,True
182,NET,"Cloudflare, Inc.",33012942233,Technology,Software—Infrastructure,1.133,97.77,0.0,1060960,New York Stock Exchange,NYSE,US,False,False,True
183,ROK,"Rockwell Automation, Inc.",32835191680,Industrials,Specialty Industrial Machinery,1.429,286.54,5.0,284698,New York Stock Exchange,NYSE,US,False,False,True
184,RCL,Royal Caribbean Cruises Ltd.,32534237123,Consumer Cyclical,Travel Services,2.518,126.765,0.0,526320,New York Stock Exchange,NYSE,US,False,False,True
185,LYB,LyondellBasell Industries N.V.,32354943100,Basic Materials,Specialty Chemicals,1.199,99.7,5.0,154030,New York Stock Exchange,NYSE,US,False,False,True
186,PEG,Public Service Enterprise Group Incorporated,32099031060,Utilities,Utilities—Regulated Electric,0.585,64.38,2.4,724843,New York Stock Exchange,NYSE,US,False,False,True
